CHEMBL501867|VINCRISTINE SULFATE
CHEMBL282052|METHAQUALONE
CHEMBL1410|NONOXYNOL 9
CHEMBL1433|DOXYCYCLINE ANHYDROUS
CHEMBL2109624|CAPLACIZUMAB
CHEMBL2108035|INCOBOTULINUMTOXINA
CHEMBL436|TOLRESTAT
CHEMBL34259|METHOTREXATE
CHEMBL1201577|CETUXIMAB
CHEMBL1695|TIAGABINE HYDROCHLORIDE
CHEMBL3833329|ERENUMAB
CHEMBL373742|VASOPRESSIN
CHEMBL1200425|PARGYLINE HYDROCHLORIDE
CHEMBL3545110|RIBOCICLIB
CHEMBL754|FOSCARNET SODIUM
CHEMBL608|PROBUCOL
CHEMBL585|TRIAMTERENE
CHEMBL1357648|AMODIAQUINE HYDROCHLORIDE
CHEMBL41286|DIACEREIN
CHEMBL1465|PHENPROCOUMON
CHEMBL1201834|CANAKINUMAB
CHEMBL2106829|METHAQUALONE HYDROCHLORIDE
CHEMBL465|DRONABINOL
CHEMBL1201556|BECAPLERMIN
CHEMBL1341|METHOXYFLURANE
CHEMBL3989944|DIROXIMEL FUMARATE
CHEMBL1200904|SELEGILINE HYDROCHLORIDE
CHEMBL45029|MEPHOBARBITAL
CHEMBL439|SULFADIAZINE
CHEMBL4297852|CENEGERMIN
CHEMBL3137318|TALAZOPARIB TOSYLATE
CHEMBL189171|ACEMETACIN
CHEMBL1201179|LAPATINIB DITOSYLATE
CHEMBL3301589|ENFORTUMAB VEDOTIN
CHEMBL1201012|FLURANDRENOLIDE
CHEMBL807|MEMANTINE
CHEMBL3707357|BROLUCIZUMAB
CHEMBL1201065|THIAMYLAL SODIUM
CHEMBL1111|AMBRISENTAN
CHEMBL3989931|ENASIDENIB MESYLATE
CHEMBL1373|MODAFINIL
CHEMBL1200541|AMBENONIUM CHLORIDE
CHEMBL116|AMPRENAVIR
CHEMBL477772|PAZOPANIB
CHEMBL135400|ZOPICLONE
CHEMBL2095222|OCRIPLASMIN
CHEMBL3545058|DEXTROTHYROXINE SODIUM
CHEMBL451887|CARFILZOMIB
CHEMBL48582|SAFINAMIDE MESYLATE
CHEMBL1522|ESZOPICLONE
CHEMBL640|PROCAINAMIDE
CHEMBL1200866|PERFLUBRON
CHEMBL2103873|MACITENTAN
CHEMBL496|HEXACHLOROPHENE
CHEMBL3989939|LAROTRECTINIB SULFATE
CHEMBL3187723|BINIMETINIB
